'1123-3','BRUTUS','Male','Canine',3805,65,'pounds'
'1123-4','NIKKI','Female','Canine',2697,12.4,'pounds'
'1124-1','BONKERS','Neutered Male','Canine',,85,'pounds'
'1124-13','POLARIS','Neutered Male','Canine',3647,139,'pounds'
'1124-14','CRUISER','Neutered Male','Canine',1860,9.9,'pounds'
'1124-15','KIZZY','Spayed Female','Canine',1166,11.6,'pounds'
'1124-2','SKIDO','Female','Canine',4364,121.2,'pounds'
'1125-3','SKISEIX','Male','Feline',,4.0099999999999994,'pounds'
'1125-5','MOLLI','Female','Canine',2937,14,'pounds'
'1125-6','LILLI','Spayed Female','Canine',2709,30,'pounds'
'1126-1','COTTON','Neutered Male','Feline',6928,7.9,'pounds'
'1126-2','PIPER','Spayed Female','Feline',1349,7.12,'pounds'
'1126-3','BELLA','Spayed Female','Feline',921,7.09,'pounds'
'1126-4','MICKEY','Neutered Male','Feline',921,9.14,'pounds'
'1126-5','BEAR','Spayed Female','Canine',3389,70.9,'pounds'
'1128-1','TI','Male','Feline',8572,10.2,'pounds'
'1139-2','SUNSET','Female','Feline',1016,1.04,'pounds'
'114-1','KATIE','Neutered Male','Feline',6502,13.2,'pounds'
'114-4','MIDNIGHT','Neutered Male','Feline',5665,15,'pounds'
'114-5','SQUIRT','Neutered Male','Canine',,16,'pounds'
'1140-1','BABY','Spayed Female','Feline',7019,4.1,'pounds'
'1140-10','TIGGER TOO','Neutered Male','Feline',3620,12.9,'pounds'
'1140-11','ROCKY','Neutered Male','Feline',3538,13,'pounds'
'1140-12','GRACE','Female','Feline',3204,1.3,'pounds'
'1140-17','CRITTER','Undetermined','Feline',,4,'pounds'
'1140-18','PRISSY','Female','Feline',,6.08,'pounds'
'1140-19','ROSIE','Spayed Female','Feline',1846,5.1,'pounds'
'1140-2','CK','Spayed Female','Feline',5376,8.08,'pounds'
'1140-20','BRIDGET','Spayed Female','Feline',,5,'pounds'
'1140-21','FUZZY BOO BOO','Neutered Male','Feline',1653,12,'pounds'
'1140-22','GINGER','Spayed Female','Feline',731,5.11,'pounds'
'1140-23','WILD BABY','Neutered Male','Feline',480,4,'pounds'
'1140-25','SOPHIE','Spayed Female','Feline',192,7.12,'pounds'
'1140-26','CHUMBUG','Neutered Male','Feline',191,8.11999999999999881,'pounds'
'1140-3','PEPPER','Spayed Female','Canine',,68.8,'pounds'
'1140-5','MAMA KITTY','Spayed Female','Feline',,6.14,'pounds'
'1140-6','CALLIE','Spayed Female','Feline',,8,'pounds'
'1140-7','TIGGER SUE','Spayed Female','Feline',3718,7.7,'pounds'
'1140-8','JELLY BELLY','Neutered Male','Feline',3627,10.0199999999999985,'pounds'
'1140-9','PUNKIN','Neutered Male','Feline',3627,11.5,'pounds'
'1145-1','MURRAY','Neutered Male','Canine',4123,103.6,'pounds'
'1145-2','MAX','Neutered Male','Canine',3388,28.2,'pounds'
'1145-3','YAGER','Male','Canine',2091,18.4,'pounds'
'1146-2','TUFF','Neutered Male','Canine',4624,9,'pounds'
'1146-3','EDDIE','Neutered Male','Canine',6768,77.9,'pounds'
'1146-4','RUBY','Female','Canine',3944,32.8,'pounds'
'1146-5','BUFFY','Female','Canine',,50.9,'pounds'
'1146-6','MOMMA CAT','Spayed Female','Feline',4372,5.4,'pounds'
'1146-7','BEANIE','Neutered Male','Canine',3999,40,'pounds'
'1147-3','BOGEY','Neutered Male','Canine',2865,24.9,'pounds'
'1148-1','MURRY','Neutered Male','Feline',7749,8,'pounds'
'1148-3','MURRAY','Neutered Male','Feline',,10.1,'pounds'
'1148-4','KITTY','Spayed Female','Feline',3799,8.4,'pounds'
'1149-1','ANGEL','Spayed Female','Canine',5766,46,'pounds'
'1150-2','JAKE','Male','Canine',6472,76.8,'pounds'
'1150-3','PENNY','Female','Canine',4479,14.6,'pounds'
'1150-4','LADY','Spayed Female','Canine',3126,53.8,'pounds'
'1150-5','MOE','Male','Canine',1933,52.1,'pounds'
'1150-6','LOBO','Neutered Male','Canine',1584,65,'pounds'
'1150-7','BELLE','Female','Canine',5231,47.7,'pounds'
'1151-2','CASSIE','Spayed Female','Canine',4400,49.7,'pounds'
